KRT5,TP63,KRT14,SCGB1A1,SCGB3A1,MUC5B,MUC5AC,BPIFB1,group,dataset,basal_score,secretory_score,secretory_minus_basal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.0,0.0,0.0
1.69123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.56374335,0.0,-0.56374335
3.2450283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,1.0816761,0.0,-1.0816761
2.342063,2.342063,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,1.5613753,0.0,-1.5613753
1.5467044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.51556814,0.0,-0.51556814
2.2599156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.7533052,0.0,-0.7533052
1.8886614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.6295538,0.0,-0.6295538
2.2737875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.75792915,0.0,-0.75792915
2.8468168,1.0309216,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,1.2925795,0.0,-1.2925795
1.9645146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.6548382,0.0,-0.6548382
1.6626303,2.002796,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,1.2218088,0.0,-1.2218088
2.1863124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.7287708,0.0,-0.7287708
0.919708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.30656934,0.0,-0.30656934
1.4665143,1.4665143,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.9776762,0.0,-0.9776762
0.0,0.0,0.0,0.0,0.0,0.0,2.4879737,0.0,Basal_correctly_annotated,Jain_Misharin_2021_10Xv2,0.0,0.49759474,0.49759474
2.2914526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.76381755,0.0,-0.76381755
2.028731,1.1636122,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,1.0641145,0.0,-1.0641145
2.3457675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.7819225,0.0,-0.7819225
2.356681,1.7540455,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,1.3702421,0.0,-1.3702421
2.197328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.7324427,0.0,-0.7324427
2.6700468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.8900156,0.0,-0.8900156
2.6476748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.8825583,0.0,-0.8825583
1.872371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.62412363,0.0,-0.62412363
2.0214102,1.6800783,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,1.2338295,0.0,-1.2338295
1.9362853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.6454284,0.0,-0.6454284
2.1075978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.7025326,0.0,-0.7025326
2.8834903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.96116346,0.0,-0.96116346
0.0,0.0,0.0,6.6900606,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.0,1.3380121,1.3380121
2.3101878,0.75825095,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,1.022813,0.0,-1.022813
