held_out_dataset,reannotation_type,nonconformity_score,top1_correct
Banovich_Kropski_2020,Correctly annotated,0.9574307459872868,True
Banovich_Kropski_2020,Misannotated,0.6565291194863747,True
Banovich_Kropski_2020,Misannotated,0.9992486786984769,True
Banovich_Kropski_2020,Underannotated,0.9967778387967171,True
Banovich_Kropski_2020,Misannotated,0.9977668780187733,True
Banovich_Kropski_2020,Correctly annotated,0.9314362867905853,True
Banovich_Kropski_2020,Underannotated,0.9999990225755288,True
Banovich_Kropski_2020,Correctly annotated,0.9990702193678681,True
Banovich_Kropski_2020,Misannotated,0.9998592069603773,True
Banovich_Kropski_2020,Underannotated,0.9981440385536567,True
Banovich_Kropski_2020,Misannotated,0.716046441388665,True
Banovich_Kropski_2020,Correctly annotated,0.9701643302888904,True
Banovich_Kropski_2020,Correctly annotated,0.9948476789632007,True
Banovich_Kropski_2020,Underannotated,0.9657404339977539,True
Banovich_Kropski_2020,Misannotated,0.9926670006917483,True
Banovich_Kropski_2020,Misannotated,0.7823738680643937,True
Banovich_Kropski_2020,Correctly annotated,0.9479182877957035,True
Banovich_Kropski_2020,Correctly annotated,0.9999029956303451,True
Banovich_Kropski_2020,Misannotated,0.9264918793343156,False
Banovich_Kropski_2020,Misannotated,0.9994182091259672,True
Banovich_Kropski_2020,Misannotated,0.9917611473426394,True
Banovich_Kropski_2020,Correctly annotated,0.9196551716626109,True
Banovich_Kropski_2020,Underannotated,0.9979443731508696,True
Banovich_Kropski_2020,Misannotated,0.9993339669502682,True
Banovich_Kropski_2020,Correctly annotated,0.9848086790561584,False
Banovich_Kropski_2020,Correctly annotated,0.9972387263942994,True
Banovich_Kropski_2020,Misannotated,0.9994983237831705,True
Banovich_Kropski_2020,Underannotated,0.8568198751944267,True
Banovich_Kropski_2020,Correctly annotated,0.9599804165051001,False
Banovich_Kropski_2020,Underannotated,0.9987373027225405,True
Banovich_Kropski_2020,Misannotated,0.7355722109317562,True
Banovich_Kropski_2020,Misannotated,0.9998671031328392,True
Banovich_Kropski_2020,Misannotated,0.998582080934575,True
Banovich_Kropski_2020,Underannotated,0.9996960785072153,True
Banovich_Kropski_2020,Misannotated,0.9275690020507971,True
Banovich_Kropski_2020,Misannotated,0.9995753236703,True
Banovich_Kropski_2020,Correctly annotated,0.9927562871314047,True
Banovich_Kropski_2020,Misannotated,0.984243825019589,True
Banovich_Kropski_2020,Correctly annotated,0.5656451007689277,True
Banovich_Kropski_2020,Correctly annotated,0.993404318296359,True
Banovich_Kropski_2020,Misannotated,0.9841953401257028,True
Banovich_Kropski_2020,Correctly annotated,0.7446774008699264,True
Banovich_Kropski_2020,Correctly annotated,0.5265324905655226,True
Banovich_Kropski_2020,Misannotated,0.8512838849535621,True
Banovich_Kropski_2020,Misannotated,0.7874361850880645,True
Banovich_Kropski_2020,Correctly annotated,0.9989420468465772,True
Banovich_Kropski_2020,Correctly annotated,0.9999788288184247,True
Banovich_Kropski_2020,Misannotated,0.9941435139465542,True
Banovich_Kropski_2020,Correctly annotated,0.7417429897578149,True
Banovich_Kropski_2020,Correctly annotated,0.9823901491313369,True
Banovich_Kropski_2020,Misannotated,0.9975301118581799,True
Banovich_Kropski_2020,Misannotated,0.9724628082181612,True
Banovich_Kropski_2020,Misannotated,0.983541790542167,True
Banovich_Kropski_2020,Underannotated,0.9999716975939023,True
Banovich_Kropski_2020,Misannotated,0.9996546779790425,True
Banovich_Kropski_2020,Misannotated,0.8601593154090981,True
Banovich_Kropski_2020,Underannotated,0.6604625786852082,True
Banovich_Kropski_2020,Misannotated,0.9995862974710907,True
Banovich_Kropski_2020,Underannotated,0.9999985101822182,True
Banovich_Kropski_2020,Correctly annotated,0.967081525445457,False
Banovich_Kropski_2020,Misannotated,0.9974778124485462,False
Banovich_Kropski_2020,Misannotated,0.9929630099072959,False
Banovich_Kropski_2020,Misannotated,0.9999996445430237,True
Banovich_Kropski_2020,Misannotated,0.9078471510019946,True
Banovich_Kropski_2020,Correctly annotated,0.9996774955107259,True
Banovich_Kropski_2020,Correctly annotated,0.9997025806754762,True
Banovich_Kropski_2020,Underannotated,0.9993355942640576,True
Banovich_Kropski_2020,Underannotated,0.9987386084726285,True
Banovich_Kropski_2020,Correctly annotated,0.9886613612259993,True
Banovich_Kropski_2020,Correctly annotated,0.7550742638369008,False
Banovich_Kropski_2020,Misannotated,0.9549059543775679,True
Banovich_Kropski_2020,Underannotated,0.9934251912677177,True
Banovich_Kropski_2020,Underannotated,0.9730899225658641,True
Banovich_Kropski_2020,Misannotated,0.9830218221296465,True
Banovich_Kropski_2020,Misannotated,0.9896115231608686,True
Banovich_Kropski_2020,Misannotated,0.9985789165098018,True
Banovich_Kropski_2020,Misannotated,0.5771295483838751,True
Banovich_Kropski_2020,Correctly annotated,0.9765475424980622,True
Banovich_Kropski_2020,Correctly annotated,0.6710577288612455,True
Banovich_Kropski_2020,Underannotated,0.9566775659182861,True
Banovich_Kropski_2020,Underannotated,0.9999724815310805,True
Banovich_Kropski_2020,Correctly annotated,0.9284341904014565,True
Banovich_Kropski_2020,Underannotated,0.9999998828955476,True
Banovich_Kropski_2020,Misannotated,0.999005196366772,True
Banovich_Kropski_2020,Correctly annotated,0.9320211298069723,True
Banovich_Kropski_2020,Correctly annotated,0.9987784309537143,True
Banovich_Kropski_2020,Misannotated,0.9106008527277902,True
Banovich_Kropski_2020,Correctly annotated,0.9994436693722331,True
Banovich_Kropski_2020,Misannotated,0.9406391430046143,True
Banovich_Kropski_2020,Correctly annotated,0.9900735152728184,True
Banovich_Kropski_2020,Misannotated,0.9272732777869077,True
Banovich_Kropski_2020,Correctly annotated,0.9939923308050042,False
Banovich_Kropski_2020,Underannotated,0.9999999964499269,True
Banovich_Kropski_2020,Correctly annotated,0.999963659597289,True
Banovich_Kropski_2020,Correctly annotated,0.9985460701345176,True
Banovich_Kropski_2020,Correctly annotated,0.9776962943812642,True
Banovich_Kropski_2020,Correctly annotated,0.9999941174385121,True
Banovich_Kropski_2020,Misannotated,0.9972396181014953,True
Banovich_Kropski_2020,Misannotated,0.9921940161598456,True
Banovich_Kropski_2020,Correctly annotated,0.9850905208782167,True
Banovich_Kropski_2020,Correctly annotated,0.9941645733799424,True
Banovich_Kropski_2020,Correctly annotated,0.9186899490226448,True
Banovich_Kropski_2020,Misannotated,0.9984047514091307,True
Banovich_Kropski_2020,Misannotated,0.9999934172313598,True
Banovich_Kropski_2020,Correctly annotated,0.999888787846249,True
Banovich_Kropski_2020,Misannotated,0.4130052151110216,True
Banovich_Kropski_2020,Underannotated,0.7368819243671639,True
Banovich_Kropski_2020,Correctly annotated,0.7234821567555819,True
Banovich_Kropski_2020,Misannotated,0.9977344217935165,True
Banovich_Kropski_2020,Correctly annotated,0.9941326700700213,True
Banovich_Kropski_2020,Misannotated,0.9869095214799228,False
Banovich_Kropski_2020,Misannotated,0.9977215460387016,True
Banovich_Kropski_2020,Misannotated,0.6569739094901615,True
Banovich_Kropski_2020,Correctly annotated,0.9999193697226169,True
Banovich_Kropski_2020,Correctly annotated,0.9958994334608534,True
Banovich_Kropski_2020,Misannotated,0.9329696339438152,False
Banovich_Kropski_2020,Misannotated,0.7031686648822972,True
Banovich_Kropski_2020,Underannotated,0.8760699181950078,True
Banovich_Kropski_2020,Correctly annotated,0.9999382762950226,True
Banovich_Kropski_2020,Misannotated,0.9997143147396533,True
Banovich_Kropski_2020,Misannotated,0.9419186004924333,False
Banovich_Kropski_2020,Misannotated,0.9793967990074501,True
Banovich_Kropski_2020,Correctly annotated,0.9062152244112344,True
Banovich_Kropski_2020,Correctly annotated,0.999181999948383,True
Banovich_Kropski_2020,Correctly annotated,0.9996408815847634,True
Banovich_Kropski_2020,Misannotated,0.9848667745573465,True
Banovich_Kropski_2020,Correctly annotated,0.9529003543632552,True
Banovich_Kropski_2020,Misannotated,0.9946162882878617,True
Banovich_Kropski_2020,Correctly annotated,0.807125445135287,True
Banovich_Kropski_2020,Misannotated,0.9988894589277859,True
Banovich_Kropski_2020,Misannotated,0.9984794350350318,True
Banovich_Kropski_2020,Correctly annotated,0.9916408606832153,True
Banovich_Kropski_2020,Correctly annotated,0.9998600047778801,True
Banovich_Kropski_2020,Correctly annotated,0.9479441443723549,True
Banovich_Kropski_2020,Misannotated,0.9897909073708544,True
Banovich_Kropski_2020,Correctly annotated,0.9969557838490521,True
Banovich_Kropski_2020,Misannotated,0.9261347979953436,True
Banovich_Kropski_2020,Misannotated,0.9561649265376888,True
Banovich_Kropski_2020,Underannotated,0.996447514873921,True
Banovich_Kropski_2020,Correctly annotated,0.9992529321608368,True
Banovich_Kropski_2020,Misannotated,0.9995071297852531,True
Banovich_Kropski_2020,Underannotated,0.7062722765600419,True
Banovich_Kropski_2020,Misannotated,0.9964044670350558,True
Banovich_Kropski_2020,Misannotated,0.9949108192316619,True
Banovich_Kropski_2020,Underannotated,0.9995713017792232,True
Banovich_Kropski_2020,Correctly annotated,0.8060232323029067,True
Banovich_Kropski_2020,Underannotated,0.9999999742510319,True
Banovich_Kropski_2020,Misannotated,0.959790141090449,False
Banovich_Kropski_2020,Misannotated,0.9996685241997324,True
Banovich_Kropski_2020,Misannotated,0.889494733845357,True
Banovich_Kropski_2020,Underannotated,0.9999747665885885,True
Banovich_Kropski_2020,Misannotated,0.999411190546669,True
Banovich_Kropski_2020,Underannotated,0.9996093958531451,True
Banovich_Kropski_2020,Misannotated,0.9965522482456536,True
Banovich_Kropski_2020,Misannotated,0.9953306258299255,True
Banovich_Kropski_2020,Correctly annotated,0.9999961935303083,True
Banovich_Kropski_2020,Correctly annotated,0.9651932427317642,True
Banovich_Kropski_2020,Correctly annotated,0.999999200069793,True
Banovich_Kropski_2020,Misannotated,0.9996144806267552,True
Banovich_Kropski_2020,Underannotated,0.9427859255433575,True
Banovich_Kropski_2020,Misannotated,0.9990467793015619,True
Banovich_Kropski_2020,Underannotated,0.7097729632248702,True
Banovich_Kropski_2020,Misannotated,0.9952863069149667,True
Banovich_Kropski_2020,Misannotated,0.9893895632780262,True
Banovich_Kropski_2020,Misannotated,0.9927672908910452,True
Banovich_Kropski_2020,Correctly annotated,0.4647082796949237,True
Banovich_Kropski_2020,Correctly annotated,0.9936233805132632,True
Banovich_Kropski_2020,Misannotated,0.989075136314681,True
Banovich_Kropski_2020,Misannotated,0.9981680821140078,True
Banovich_Kropski_2020,Underannotated,0.993557445473682,True
Banovich_Kropski_2020,Misannotated,0.9511149967936489,True
Banovich_Kropski_2020,Misannotated,0.9966548989281997,True
Banovich_Kropski_2020,Misannotated,0.9878858611709054,False
Banovich_Kropski_2020,Misannotated,0.9825426669652394,True
Banovich_Kropski_2020,Misannotated,0.9948099096232532,True
Banovich_Kropski_2020,Misannotated,0.8675980027013497,True
Banovich_Kropski_2020,Misannotated,0.9851242957905165,False
Banovich_Kropski_2020,Misannotated,0.960442309756013,True
Banovich_Kropski_2020,Misannotated,0.998667888312287,True
Banovich_Kropski_2020,Misannotated,0.978051619066498,True
Banovich_Kropski_2020,Underannotated,0.968846516040746,True
Banovich_Kropski_2020,Underannotated,0.9999926051063727,True
Banovich_Kropski_2020,Misannotated,0.9993547367138211,True
Banovich_Kropski_2020,Underannotated,0.9999999829460412,True
Banovich_Kropski_2020,Correctly annotated,0.9997869547818801,True
Banovich_Kropski_2020,Misannotated,0.999999528308154,True
Banovich_Kropski_2020,Misannotated,0.9980476457977744,True
Banovich_Kropski_2020,Correctly annotated,0.889406065273796,True
Banovich_Kropski_2020,Correctly annotated,0.6268798338723378,True
Banovich_Kropski_2020,Misannotated,0.9977553980413318,True
Banovich_Kropski_2020,Misannotated,0.9777721106274859,False
Banovich_Kropski_2020,Misannotated,0.9597528294082102,True
Banovich_Kropski_2020,Misannotated,0.9850564661478198,True
Banovich_Kropski_2020,Correctly annotated,0.9794750283924902,True
Banovich_Kropski_2020,Correctly annotated,0.9997717399122452,True
Banovich_Kropski_2020,Correctly annotated,0.5136521823231738,True
Banovich_Kropski_2020,Correctly annotated,0.9812238064788663,True
Banovich_Kropski_2020,Misannotated,0.9959232465109978,True
Banovich_Kropski_2020,Misannotated,0.9971066831341934,True
Banovich_Kropski_2020,Correctly annotated,0.9971795949212691,True
Banovich_Kropski_2020,Misannotated,0.7312087390225843,True
Banovich_Kropski_2020,Misannotated,0.9720487099293936,False
Banovich_Kropski_2020,Misannotated,0.9999980187831442,True
Banovich_Kropski_2020,Underannotated,0.9685834714771825,True
Banovich_Kropski_2020,Underannotated,0.9991309925001859,True
Banovich_Kropski_2020,Misannotated,0.998788684054372,True
Banovich_Kropski_2020,Misannotated,0.49696625443840514,True
Banovich_Kropski_2020,Misannotated,0.9965191022397458,True
Banovich_Kropski_2020,Misannotated,0.9999980844110119,False
Banovich_Kropski_2020,Correctly annotated,0.9838009034157846,True
Banovich_Kropski_2020,Correctly annotated,0.9999996317005251,True
Banovich_Kropski_2020,Correctly annotated,0.9751548740754458,True
Banovich_Kropski_2020,Misannotated,0.9998553768927124,True
Banovich_Kropski_2020,Underannotated,0.963664975887809,True
Banovich_Kropski_2020,Misannotated,0.990404719176532,False
Banovich_Kropski_2020,Underannotated,0.9127049296017367,True
Banovich_Kropski_2020,Correctly annotated,0.9999508256320033,True
Banovich_Kropski_2020,Misannotated,0.9922935915423144,False
Banovich_Kropski_2020,Misannotated,0.9900989519251049,True
Banovich_Kropski_2020,Misannotated,0.9994447325782654,True
Banovich_Kropski_2020,Underannotated,0.9982175158516418,True
Banovich_Kropski_2020,Correctly annotated,0.8849216989713822,True
Banovich_Kropski_2020,Misannotated,0.9990700762069515,True
Banovich_Kropski_2020,Correctly annotated,0.9722297162167063,True
Banovich_Kropski_2020,Underannotated,0.9993249104743114,True
Banovich_Kropski_2020,Correctly annotated,0.9851434832324211,True
Banovich_Kropski_2020,Underannotated,0.9862416549219636,True
Banovich_Kropski_2020,Correctly annotated,0.9955796316729172,True
